Name,Sex,Age,Height1,Weight1,Height2,Weight2,BMI,Team,Year,Season,City,Event,Medal
"Abigail Golda ""Abby"" Hoffman",F,29,175,58.37,68.8975,128.414,19.05959184,CAN,1976,Summer,Montreal,Athletics Women's 800 metres,None
Adrian Prosser,M,19,185,72.1,72.8345,158.62,21.06647188,CAN,1976,Summer,Montreal,"Cycling Men's Team Pursuit, 4,000 metres",None
"Alan ""Al"" Pilcher",M,18,180,70.86,70.866,155.892,21.87037037,CAN,1988,Winter,Calgary,Cross Country Skiing Men's 15 kilometres,None
"Albin ""Al"" Dukowski",M,22,178,66.07,70.0786,145.354,20.85279636,CAN,1976,Summer,Montreal,Athletics Men's 4 x 100 metres Relay,None
Alex Harvey,M,21,184,76.15,72.4408,167.53,22.49232042,CAN,2010,Winter,Vancouver,Cross Country Skiing Men's 15 kilometres,None
"Alexander Harold ""Alex"" Oakley",M,50,184,68.06,72.4408,149.732,20.10278828,CAN,1976,Summer,Montreal,Athletics Men's 20 kilometres Walk,None
"Alexander Timothy ""Tim"" McKee",M,23,173,70.73,68.1101,155.606,23.63259715,USA,1976,Summer,Montreal,Swimming Men's 400 metres Individual Medley,Silver
Allison Baver,F,29,160,58.53,62.992,128.766,22.86328125,USA,2010,Winter,Vancouver,"Short Track Speed Skating Women's 1,000 metres",None
"Alyson ""Aly"" Dudek",F,19,168,58.36,66.1416,128.392,20.67743764,USA,2010,Winter,Vancouver,Short Track Speed Skating Women's 500 metres,None
Anastasia Winchester Bucsis,F,20,178,67.76,70.0786,149.072,21.38618861,CAN,2010,Winter,Vancouver,Speed Skating Women's 500 metres,None
Andreas John Weigand,M,30,188,85.4,74.0156,187.88,24.16251698,USA,1976,Summer,Montreal,"Canoeing Men's Canadian Doubles, 500 metres",None
"Andrew Kelley ""Andy"" Newell",M,26,178,72.02,70.0786,158.444,22.73071582,USA,2010,Winter,Vancouver,Cross Country Skiing Men's 4 x 10 kilometres Relay,None
Andrs Istvn Tr,M,36,178,69.29,70.0786,152.438,21.86908219,USA,1976,Summer,Montreal,"Canoeing Men's Canadian Doubles, 1,000 metres",None
Angela E. Schmidt-Foster,F,28,172,62.64,67.7164,137.808,21.17360736,CAN,1988,Winter,Calgary,Cross Country Skiing Women's 5 kilometres,None
Angus Gault Morrison,M,24,189,92.1,74.4093,202.62,25.78315277,USA,1976,Summer,Montreal,"Canoeing Men's Canadian Singles, 500 metres",None
Ann Clare Turner,F,19,175,69.61,68.8975,153.142,22.72979592,USA,1976,Summer,Montreal,"Canoeing Women's Kayak Doubles, 500 metres",None
Anne Elizabeth Jardin (-Alexander),F,16,179,77.26,70.4723,169.972,24.1128554,CAN,1976,Summer,Montreal,Swimming Women's 100 metres Freestyle,None
Anne Marie Dodge (-Cooper),F,18,178,72.41,70.0786,159.302,22.85380634,CAN,1976,Summer,Montreal,"Canoeing Women's Kayak Doubles, 500 metres",None
Apolo Anton Ohno,M,27,173,69.3,68.1101,152.46,23.15479969,USA,2010,Winter,Vancouver,Short Track Speed Skating Men's 500 metres,None
Ariane Loignon,F,22,164,61.4,64.5668,135.08,22.82867341,CAN,1988,Winter,Calgary,Speed Skating Women's 500 metres,None
Arne Sorensen,M,42,185,80.2,72.8345,176.44,23.43316289,CAN,1976,Summer,Montreal,"Shooting Mixed Small-Bore Rifle, Prone, 50 metres",None
Barbara Lynne Clark (-Parolin),F,17,168,62.16,66.1416,136.752,22.02380952,CAN,1976,Summer,Montreal,Swimming Women's 100 metres Freestyle,None
"Benjamin Gene ""Benny"" Brown",M,22,180,74.8,70.866,164.56,23.08641975,USA,1976,Summer,Montreal,Athletics Men's 4 x 400 metres Relay,Gold
"Benot ""Ben"" Lamarche",M,21,177,73.65,69.6849,162.03,23.50857033,CAN,1988,Winter,Calgary,"Speed Skating Men's 1,500 metres",None
"Bohdan ""Don"" Domansky",M,29,180,77.86,70.866,171.292,24.0308642,CAN,1976,Summer,Montreal,Athletics Men's 400 metres,None
Bonnie Kathleen Blair (-Cruikshank),F,23,165,60.6,64.9605,133.32,22.25895317,USA,1988,Winter,Calgary,Speed Skating Women's 500 metres,Gold
Brenda Grace Borgh (-Bartlett),F,15,175,64.24,68.8975,141.328,20.97632653,USA,1976,Summer,Montreal,Swimming Women's 400 metres Freestyle,None
Brenda Louise Morehead,F,18,162,55.13,63.7794,121.286,21.00670629,USA,1976,Summer,Montreal,Athletics Women's 100 metres,None
Brendan Green,M,23,183,73.46,72.0471,161.612,21.93556093,CAN,2010,Winter,Vancouver,Biathlon Men's 4 x 7.5 kilometres Relay,None
Brent Howard Turner,M,22,183,74.85,72.0471,164.67,22.35062259,USA,1976,Summer,Montreal,"Canoeing Men's Kayak Fours, 1,000 metres",None
Brian Chewter,M,22,180,71.67,70.866,157.674,22.12037037,CAN,1976,Summer,Montreal,Cycling Men's 100 kilometres Team Time Trial,None
Brian Hansen,M,19,183,83.27,72.0471,183.194,24.86488101,USA,2010,Winter,Vancouver,"Speed Skating Men's 1,500 metres",None
Brian Saunders,M,24,183,68.35,72.0471,150.37,20.40968676,CAN,1976,Summer,Montreal,Athletics Men's 400 metres,None
Brian Stuart Goodell,M,17,173,67.64,68.1101,148.808,22.6001537,USA,1976,Summer,Montreal,Swimming Men's 400 metres Freestyle,Gold
Brittany Anne Schussler,F,24,170,63.9,66.929,140.58,22.11072664,CAN,2010,Winter,Vancouver,"Speed Skating Women's 1,000 metres",None
Bruce MacFarlane Furniss,M,19,183,73.1,72.0471,160.82,21.82806295,USA,1976,Summer,Montreal,Swimming Men's 200 metres Freestyle,Gold
Bruce Michael Barton,M,19,180,72.37,70.866,159.214,22.33641975,USA,1976,Summer,Montreal,"Canoeing Men's Kayak Doubles, 1,000 metres",None
Bruce Richard Robertson,M,23,178,70.79,70.0786,155.738,22.34250726,CAN,1976,Summer,Montreal,Swimming Men's 100 metres Freestyle,None
Caitlin Compton (-Gregg),F,29,165,58.87,64.9605,129.514,21.62350781,USA,2010,Winter,Vancouver,Cross Country Skiing Women's 10 kilometres,None
Camille Wright (-Thompson),F,21,173,59.77,68.1101,131.494,19.97059708,USA,1976,Summer,Montreal,Swimming Women's 100 metres Butterfly,None
Carol Gibson,F,23,178,65.24,70.0786,143.528,20.59083449,CAN,1988,Winter,Calgary,Cross Country Skiing Women's 5 kilometres,None
Caroline Maheux,F,18,162,61.82,63.7794,136.004,23.55586039,CAN,1988,Winter,Calgary,"Speed Skating Women's 1,500 metres",None
Catherine Raney Norman,F,29,170,66.54,66.929,146.388,23.02422145,USA,2010,Winter,Vancouver,"Speed Skating Women's 1,500 metres",None
Chad Paul Hedrick,M,32,180,77.89,70.866,171.358,24.04012346,USA,2010,Winter,Vancouver,"Speed Skating Men's 1,000 metres",Bronze
Chandra Crawford,F,26,175,68.94,68.8975,151.668,22.51102041,CAN,2010,Winter,Vancouver,Cross Country Skiing Women's 4 x 5 kilometres Relay,None
"Chandra Danette Cheeseborough (-Shellman, -Guice)",F,17,165,59,64.9605,129.8,21.67125803,USA,1976,Summer,Montreal,Athletics Women's 100 metres,None
Chantal Ct,F,23,152,59.51,59.8424,130.922,25.7574446,CAN,1988,Winter,Calgary,"Speed Skating Women's 1,500 metres",None
"Charles Clinton ""Chuck"" Lyda",M,23,188,81.33,74.0156,178.926,23.01097782,USA,1976,Summer,Montreal,"Canoeing Men's Canadian Doubles, 1,000 metres",None
"Charles Douglas ""Doug"" Brown",M,24,188,69.68,74.0156,153.296,19.71480308,USA,1976,Summer,Montreal,"Athletics Men's 3,000 metres Steeplechase",None
Charles Hamelin,M,25,175,71.66,68.8975,157.652,23.39918367,CAN,2010,Winter,Vancouver,Short Track Speed Skating Men's 500 metres,Gold
"Charles Humphrey Keating, III",M,20,186,81.85,73.2282,180.07,23.65880449,USA,1976,Summer,Montreal,Swimming Men's 200 metres Breaststroke,None
Charles Plamondon,M,26,175,71.31,68.8975,156.882,23.28489796,CAN,1988,Winter,Calgary,Biathlon Men's 10 kilometres Sprint,None
Charles Wayne Foster,M,23,180,72.51,70.866,159.522,22.37962963,USA,1976,Summer,Montreal,Athletics Men's 110 metres Hurdles,None
Cheryl Ann Gibson (-Brokop),F,16,173,59.79,68.1101,131.538,19.97727956,CAN,1976,Summer,Montreal,Swimming Women's 100 metres Backstroke,None
Christine Margaret Nesbitt,F,24,171,69.39,67.3227,152.658,23.73037858,CAN,2010,Winter,Vancouver,Speed Skating Women's 500 metres,None
"Christopher W. T. ""Chris"" Woo",M,18,178,75.03,70.0786,165.066,23.68072213,USA,1976,Summer,Montreal,Swimming Men's 100 metres Breaststroke,None
Clara Hughes,F,37,175,73.18,68.8975,160.996,23.8955102,CAN,2010,Winter,Vancouver,"Speed Skating Women's 3,000 metres",None
"Clark Todd Scully, Jr.",M,27,175,58.04,68.8975,127.688,18.95183673,USA,1976,Summer,Montreal,Athletics Men's 20 kilometres Walk,None
"Clayton T. ""Clay"" Evans",M,22,183,72.22,72.0471,158.884,21.5652901,CAN,1976,Summer,Montreal,Swimming Men's 100 metres Butterfly,None
Craig Steven Virgin,M,20,179,60.41,70.4723,132.902,18.85396835,USA,1976,Summer,Montreal,"Athletics Men's 10,000 metres",None
"Curtis John ""Curt"" Schreiner",M,20,175,75.99,68.8975,167.178,24.81306122,USA,1988,Winter,Calgary,Biathlon Men's 10 kilometres Sprint,None
"Cynthia Nicole ""Cindy"" Klassen",F,30,173,72.92,68.1101,160.424,24.36432891,CAN,2010,Winter,Vancouver,"Speed Skating Women's 1,500 metres",None
Cynthia Shepherd Poor (-Jensen),F,23,162,53.15,63.7794,116.93,20.25224813,USA,1976,Summer,Montreal,"Athletics Women's 1,500 metres",None
"Daniel ""Dan"" Shaughnessy",M,31,178,63.87,70.0786,140.514,20.15843959,CAN,1976,Summer,Montreal,"Athletics Men's 10,000 metres",None
"Daniel Ervin ""Dan"" Jansen",M,22,183,89.48,72.0471,196.856,26.71922124,USA,1988,Winter,Calgary,Speed Skating Men's 500 metres,None
"Daniel Lee ""Dan"" Harrigan",M,20,182,77.85,71.6534,171.27,23.5025963,USA,1976,Summer,Montreal,Swimming Men's 200 metres Backstroke,Bronze
Daniel Nadeau,M,22,178,70.53,70.0786,155.166,22.26044691,CAN,1976,Summer,Montreal,"Shooting Mixed Running Target, 50 metres",None
"Daniel Owen ""Dan"" Simoneau",M,29,175,76.48,68.8975,168.256,24.97306122,USA,1988,Winter,Calgary,Cross Country Skiing Men's 15 kilometres,None
Daniel Taillon,M,23,185,78.04,72.8345,171.688,22.80204529,CAN,1976,Summer,Montreal,Athletics Men's 110 metres Hurdles,None
Daniel Turcotte,M,25,172,71.8,67.7164,157.96,24.26987561,CAN,1988,Winter,Calgary,Speed Skating Men's 500 metres,None
"Daria ""Dasha"" Gaiazova",F,26,178,70.19,70.0786,154.418,22.15313723,CAN,2010,Winter,Vancouver,Cross Country Skiing Women's 4 x 5 kilometres Relay,None
Darin Perry Binning,M,21,178,70.76,70.0786,155.672,22.33303876,USA,1988,Winter,Calgary,Biathlon Men's 20 kilometres,None
"David ""Dave"" Hill",M,23,180,69.08,70.866,151.976,21.32098765,CAN,1976,Summer,Montreal,"Athletics Men's 1,500 metres",None
David Gilman,M,21,186,75.97,73.2282,167.134,21.95918603,USA,1976,Summer,Montreal,"Canoeing Men's Kayak Singles, 1,000 metres",None
"David Ross, III",M,35,175,84.66,68.8975,186.252,27.64408163,USA,1976,Summer,Montreal,"Shooting Mixed Small-Bore Rifle, Prone, 50 metres",None
"David William ""Bill"" Spencer",M,31,180,71.57,70.866,157.454,22.08950617,USA,1988,Winter,Calgary,Cross Country Skiing Men's 15 kilometres,None
"David William ""Dave"" Silk",M,22,180,76.48,70.866,168.256,23.60493827,USA,1988,Winter,Calgary,"Speed Skating Men's 1,500 metres",None
Dean Oldershaw,M,29,180,71.82,70.866,158.004,22.16666667,CAN,1976,Summer,Montreal,"Canoeing Men's Kayak Singles, 500 metres",None
"Debora Elaine ""Debra"" Sapenter (-Speight, -Christopher)",F,24,170,53.73,66.929,118.206,18.5916955,USA,1976,Summer,Montreal,Athletics Women's 400 metres,None
"Deborah ""Debbie"" Clarke (-Zemba)",F,15,166,57.34,65.3542,126.148,20.80853535,CAN,1976,Summer,Montreal,Swimming Women's 200 metres Freestyle,None
"Deborah C. ""Deby"" LaPlante (Lansky-)",F,23,169,58.85,66.5353,129.47,20.60502083,USA,1976,Summer,Montreal,Athletics Women's 100 metres Hurdles,None
"Deborah Sue ""Debra"" Edwards-Armstrong",F,21,153,51.75,60.2361,113.85,22.10688197,USA,1976,Summer,Montreal,Athletics Women's 200 metres,None
Denis Barr,M,28,180,72.12,70.866,158.664,22.25925926,CAN,1976,Summer,Montreal,"Canoeing Men's Kayak Doubles, 500 metres",None
Dennis Lawrence,M,22,191,80.13,75.1967,176.286,21.96485842,CAN,1988,Winter,Calgary,Cross Country Skiing Men's 15 kilometres,None
Denny Morrison,M,24,183,82.34,72.0471,181.148,24.58717788,CAN,2010,Winter,Vancouver,"Speed Skating Men's 1,000 metres",None
Devon Kershaw,M,27,178,73.17,70.0786,160.974,23.09367504,CAN,2010,Winter,Vancouver,Cross Country Skiing Men's 50 kilometres,None
Donnalee Wennerstrom (-Carlson),F,16,175,65.03,68.8975,143.066,21.23428571,USA,1976,Summer,Montreal,Swimming Women's 200 metres Butterfly,None
Dorcas Elizabeth DenHartog-Wonsavage,F,23,162,54.9,63.7794,120.78,20.91906722,USA,1988,Winter,Calgary,Cross Country Skiing Women's 10 kilometres,None
"Douglas Dale ""Doug"" Northway",M,21,180,66.32,70.866,145.904,20.4691358,USA,1976,Summer,Montreal,Swimming Men's 4 x 200 metres Freestyle Relay,Gold
Duncan E. MacDonald,M,27,177,64.42,69.6849,141.724,20.56241821,USA,1976,Summer,Montreal,"Athletics Men's 5,000 metres",None
Dwayne Eugene Evans,M,17,183,67.48,72.0471,148.456,20.14989997,USA,1976,Summer,Montreal,Athletics Men's 200 metres,Bronze
"Edward Eugene ""Ed"" Mendoza",M,23,167,61.68,65.7479,135.696,22.11624655,USA,1976,Summer,Montreal,"Athletics Men's 10,000 metres",None
Edwin Corley Moses,M,20,186,73.62,73.2282,161.964,21.27991675,USA,1976,Summer,Montreal,Athletics Men's 400 metres Hurdles,Gold
"Elizabeth ""Liz"" Stephen",F,23,157,49.58,61.8109,109.076,20.11440626,USA,2010,Winter,Vancouver,Cross Country Skiing Women's 10 kilometres,None
"Elizabeth Frazier ""Betsy"" Youngman",F,28,162,59.5,63.7794,130.9,22.6718488,USA,1988,Winter,Calgary,Cross Country Skiing Women's 5 kilometres,None
"Elizabeth Kristine ""Elli"" Ochowicz",F,26,160,62.88,62.992,138.336,24.5625,USA,2010,Winter,Vancouver,Speed Skating Women's 500 metres,None
Eric Joseph Flaim,M,20,173,73.82,68.1101,162.404,24.6650406,USA,1988,Winter,Calgary,"Speed Skating Men's 1,000 metres",None
Erik Christian Henriksen,M,29,190,86.63,74.803,190.586,23.99722992,USA,1988,Winter,Calgary,Speed Skating Men's 500 metres,None
Evelyn Ashford (-Washington),F,19,165,53.09,64.9605,116.798,19.50045914,USA,1976,Summer,Montreal,Athletics Women's 100 metres,None
"Francis Ann ""Francie"" Larrieu-Smith (-Lutz-)",F,23,163,49.09,64.1731,107.998,18.47641989,USA,1976,Summer,Montreal,"Athletics Women's 1,500 metres",None
Franois Hamelin,M,23,175,73.7,68.8975,162.14,24.06530612,CAN,2010,Winter,Vancouver,"Short Track Speed Skating Men's 1,000 metres",None
Franois-Louis Tremblay,M,29,173,73.22,68.1101,161.084,24.46456614,CAN,2010,Winter,Vancouver,Short Track Speed Skating Men's 500 metres,Bronze
Franois-Olivier Roberge,M,24,186,87.59,73.2282,192.698,25.31795583,CAN,2010,Winter,Vancouver,"Speed Skating Men's 1,000 metres",None
"Frederick Vaughn ""Fred"" Newhouse",M,27,175,68.84,68.8975,151.448,22.47836735,USA,1976,Summer,Montreal,Athletics Men's 400 metres,Silver
Gail Amundrud (-Beattie),F,19,183,71.13,72.0471,156.486,21.23981009,CAN,1976,Summer,Montreal,Swimming Women's 100 metres Freestyle,None
Garrott Andrew Kuzzy,M,27,193,87.27,75.9841,191.994,23.42881688,USA,2010,Winter,Vancouver,Cross Country Skiing Men's 15 kilometres,None
Garry Brian Bjorklund,M,25,177,67.35,69.6849,148.17,21.49765393,USA,1976,Summer,Montreal,"Athletics Men's 10,000 metres",None
"Gary Wayne Hall, Sr.",M,24,186,75.03,73.2282,165.066,21.68747832,USA,1976,Summer,Montreal,Swimming Men's 100 metres Butterfly,Bronze
Gatan T. Boucher,M,29,171,72.79,67.3227,160.138,24.89312951,CAN,1988,Winter,Calgary,Speed Skating Men's 500 metres,None
George Grey,M,30,179,77.17,70.4723,169.774,24.08476639,CAN,2010,Winter,Vancouver,Cross Country Skiing Men's 15 kilometres,None
"George William ""Bill"" Leach",M,30,178,75.37,70.0786,165.814,23.78803181,USA,1976,Summer,Montreal,"Canoeing Men's Kayak Doubles, 500 metres",None
"Gillian ""Jill"" Sterkel",F,15,180,77.89,70.866,171.358,24.04012346,USA,1976,Summer,Montreal,Swimming Women's 100 metres Freestyle,None
Glenn Bogue,M,20,173,68.05,68.1101,149.71,22.73714458,CAN,1976,Summer,Montreal,Athletics Men's 400 metres,None
Glenn Richard Rupertus,M,23,172,68.92,67.7164,151.624,23.29637642,CAN,1988,Winter,Calgary,Biathlon Men's 10 kilometres Sprint,None
Gordon Goplen,M,23,190,85.26,74.803,187.572,23.61772853,CAN,1988,Winter,Calgary,"Speed Skating Men's 5,000 metres",None
Gordon Jewett,M,32,181,72.88,71.2597,160.336,22.24596319,CAN,2010,Winter,Vancouver,Cross Country Skiing Men's 15 kilometres,None
Grant McLaren,M,27,181,69.66,71.2597,153.252,21.26308721,CAN,1976,Summer,Montreal,"Athletics Men's 5,000 metres",None
Gregor Jelonek,M,19,183,78.05,72.0471,171.71,23.30616023,CAN,1988,Winter,Calgary,"Speed Skating Men's 1,500 metres",None
Gregory Smith,M,19,180,71.89,70.866,158.158,22.1882716,CAN,1976,Summer,Montreal,"Canoeing Men's Canadian Doubles, 500 metres",None
Guillaume Bastille,M,24,176,71.79,69.2912,157.938,23.17600723,CAN,2010,Winter,Vancouver,"Short Track Speed Skating Men's 1,500 metres",None
Guy Thibault,M,23,171,71.71,67.3227,157.762,24.5237851,CAN,1988,Winter,Calgary,Speed Skating Men's 500 metres,None
Haley Johnson,F,28,165,61.65,64.9605,135.63,22.6446281,USA,2010,Winter,Vancouver,Biathlon Women's 7.5 kilometres Sprint,None
Hans Adlhoch,M,41,177,71.54,69.6849,157.388,22.83507294,CAN,1976,Summer,Montreal,"Shooting Mixed Small-Bore Rifle, Three Positions, 50 metres",None
Harvey Edward Glance,M,19,173,67.97,68.1101,149.534,22.71041465,USA,1976,Summer,Montreal,Athletics Men's 100 metres,None
Heather Lynn Richardson (-Bergsma),F,20,178,70.32,70.0786,154.704,22.1941674,USA,2010,Winter,Vancouver,Speed Skating Women's 500 metres,None
Henry Dinwoody Marsh,M,22,178,73.35,70.0786,161.37,23.15048605,USA,1976,Summer,Montreal,"Athletics Men's 3,000 metres Steeplechase",None
Henry Krawczyk,M,30,178,78.57,70.0786,172.854,24.7980053,USA,1976,Summer,Montreal,"Canoeing Men's Kayak Singles, 500 metres",None
Herman Ronald Frazier,M,21,184,73.37,72.4408,161.414,21.67119565,USA,1976,Summer,Montreal,Athletics Men's 400 metres,Bronze
Hershel Lee Anderson,M,38,183,86.99,72.0471,191.378,25.97569351,USA,1976,Summer,Montreal,"Shooting Mixed Free Pistol, 50 metres",None
Hlne Boivin (-Cantin),F,17,165,63.19,64.9605,139.018,23.21028466,CAN,1976,Summer,Montreal,Swimming Women's 100 metres Butterfly,None
Holly Brooks (-Whitney),F,27,168,61.29,66.1416,134.838,21.71556122,USA,2010,Winter,Vancouver,Cross Country Skiing Women's 10 kilometres,None
Holly Renee Magee (-Tucker),F,17,180,67.16,70.866,147.752,20.72839506,USA,1976,Summer,Montreal,Swimming Women's 100 metres Backstroke,None
Hugh Fisher,M,20,183,83.99,72.0471,184.778,25.07987697,CAN,1976,Summer,Montreal,"Canoeing Men's Kayak Fours, 1,000 metres",None
Hugh Lloyd Fraser,M,24,185,75.78,72.8345,166.716,22.14170928,CAN,1976,Summer,Montreal,Athletics Men's 200 metres,None
Hugh Spooner,M,18,178,69.06,70.0786,151.932,21.79649034,CAN,1976,Summer,Montreal,Athletics Men's 4 x 100 metres Relay,None
Hugh Walton,M,21,179,71.43,70.4723,157.146,22.29331169,CAN,1976,Summer,Montreal,"Cycling Men's Team Pursuit, 4,000 metres",None
Ian Seale,M,21,178,67.23,70.0786,147.906,21.21891175,CAN,1976,Summer,Montreal,Athletics Men's 4 x 400 metres Relay,None
Ivan Sergeyevich Babikov,M,29,172,70.25,67.7164,154.55,23.74594375,CAN,2010,Winter,Vancouver,Cross Country Skiing Men's 15 kilometres,None
"Jack Babashoff, Jr.",M,21,191,85.21,75.1967,187.462,23.35736411,USA,1976,Summer,Montreal,Swimming Men's 100 metres Freestyle,Silver
"James ""Jamie"" Kallio",M,22,168,74.93,66.1416,164.846,26.54832766,CAN,1988,Winter,Calgary,Biathlon Men's 20 kilometres,None
James Earl Owens,M,21,183,81.24,72.0471,178.728,24.25871182,USA,1976,Summer,Montreal,Athletics Men's 110 metres Hurdles,None
"James Junior Robinson, Jr.",M,21,180,68.27,70.866,150.194,21.07098765,USA,1976,Summer,Montreal,Athletics Men's 800 metres,None
"James Paul ""Jim"" Montgomery",M,21,191,88.46,75.1967,194.612,24.24823881,USA,1976,Summer,Montreal,Swimming Men's 100 metres Freestyle,Gold
