Name,Sex,Age,Height1,Weight1,Height2,Weight2,BMI,Team,Year,Season,City,Event,Medal
LeLei Alofa Fonoimoana (-Moore),F,17,173,66.58,68.1101,146.476,22.24598216,USA,1976,Summer,Montreal,Swimming Women's 100 metres Butterfly,None
Leonard Harvey Nitz,M,19,180,75.5,70.866,166.1,23.30246914,USA,1976,Summer,Montreal,"Cycling Men's Individual Pursuit, 4,000 metres",None
Leslie Ann Thompson (-Hall),F,24,160,59.07,62.992,129.954,23.07421875,USA,1988,Winter,Calgary,Cross Country Skiing Women's 5 kilometres,None
Leslie B. Bancroft-Krichko,F,28,178,67.27,70.0786,147.994,21.23153642,USA,1988,Winter,Calgary,Cross Country Skiing Women's 5 kilometres,None
Leslie Elisabeth Corbett Bader (-Corbett),F,24,167,64.73,65.7479,142.406,23.20986769,USA,1988,Winter,Calgary,Speed Skating Women's 500 metres,None
Linda Jane Murray-Dragan,F,23,168,67.61,66.1416,148.742,23.95479025,USA,1976,Summer,Montreal,"Canoeing Women's Kayak Doubles, 500 metres",None
Linda Louise Jezek,F,16,173,59.03,68.1101,129.866,19.72334525,USA,1976,Summer,Montreal,Swimming Women's 100 metres Backstroke,None
Lisa Borsholt,F,14,170,61.24,66.929,134.728,21.19031142,CAN,1976,Summer,Montreal,Swimming Women's 100 metres Breaststroke,None
Lisa Geary (-O'Brien),F,14,166,52.73,65.3542,116.006,19.13557846,CAN,1976,Summer,Montreal,Swimming Women's 800 metres Freestyle,None
"Lojas ""Lou"" Tollas",M,30,173,60.54,68.1101,133.188,20.22787263,CAN,1976,Summer,Montreal,"Canoeing Men's Kayak Fours, 1,000 metres",None
Lorna Sasseville (-Daudrich),F,27,165,57.38,64.9605,126.236,21.07621671,CAN,1988,Winter,Calgary,Cross Country Skiing Women's 5 kilometres,None
"Louis Michael Theimer, III",M,26,188,79.06,74.0156,173.932,22.36871888,USA,1976,Summer,Montreal,"Shooting Mixed Running Target, 50 metres",None
Lowell Conrad Bailey,M,28,185,78.06,72.8345,171.732,22.80788897,USA,2010,Winter,Vancouver,Biathlon Men's 10 kilometres Sprint,None
Lucas Markian Makowsky,M,22,181,79.19,71.2597,174.218,24.17203382,CAN,2010,Winter,Vancouver,"Speed Skating Men's 1,500 metres",None
Lyle Barber Nelson,M,39,188,84.69,74.0156,186.318,23.96163422,USA,1988,Winter,Calgary,Biathlon Men's 10 kilometres Sprint,None
Madeleine Williams,F,26,163,55.76,64.1731,122.672,20.98686439,CAN,2010,Winter,Vancouver,Cross Country Skiing Women's 10 kilometres,None
Madeline Manning-Jackson (-Mims),F,28,175,76,68.8975,167.2,24.81632653,USA,1976,Summer,Montreal,Athletics Women's 800 metres,None
Marc Blouin,M,23,188,82.7,74.0156,181.94,23.39859665,CAN,1976,Summer,Montreal,Cycling Men's 100 kilometres Team Time Trial,None
Marc Courtney Thompson,M,23,183,73.19,72.0471,161.018,21.85493744,USA,1976,Summer,Montreal,Cycling Men's 100 kilometres Team Time Trial,None
Marc-Andr Bdard,M,23,171,70.86,67.3227,155.892,24.23309736,CAN,2010,Winter,Vancouver,Biathlon Men's 4 x 7.5 kilometres Relay,None
Marcel Jobin,M,34,180,73.07,70.866,160.754,22.55246914,CAN,1976,Summer,Montreal,Athletics Men's 20 kilometres Walk,None
Marcel Tremblay,M,22,185,86.73,72.8345,190.806,25.34112491,CAN,1988,Winter,Calgary,"Speed Skating Men's 1,000 metres",None
Marcia Helen Morey,F,20,175,66.83,68.8975,147.026,21.82204082,USA,1976,Summer,Montreal,Swimming Women's 100 metres Breaststroke,None
"Margaret ""Marg"" Stride (McGowen-)",F,21,167,61.48,65.7479,135.256,22.04453369,CAN,1976,Summer,Montreal,Athletics Women's 400 metres,None
Margaret Howe,F,18,167,57.38,65.7479,126.236,20.57442002,CAN,1976,Summer,Montreal,Athletics Women's 100 metres,None
Margaret Murdock (Thompson-),F,33,163,73.87,64.1731,162.514,27.80307878,USA,1976,Summer,Montreal,"Shooting Mixed Small-Bore Rifle, Three Positions, 50 metres",Silver
Maria Teresa Sullivan Lamb,F,24,168,59.68,66.1416,131.296,21.14512472,USA,2010,Winter,Vancouver,"Speed Skating Women's 5,000 metres",None
Marianne St-Gelais,F,19,163,63.06,64.1731,138.732,23.73442734,CAN,2010,Winter,Vancouver,Short Track Speed Skating Women's 500 metres,Silver
Marie-Andre Masson,F,24,167,55.48,65.7479,122.056,19.89314784,CAN,1988,Winter,Calgary,Cross Country Skiing Women's 10 kilometres,None
Marie-Pierre Lamarche,F,19,165,55.76,64.9605,122.672,20.48117539,CAN,1988,Winter,Calgary,"Speed Skating Women's 1,000 metres",None
Marjorie Evalena Bailey (Turner-),F,28,170,61.56,66.929,135.432,21.30103806,CAN,1976,Summer,Montreal,Athletics Women's 100 metres,None
Mark Bruce Enyeart,M,22,183,70.79,72.0471,155.738,21.13828421,USA,1976,Summer,Montreal,Athletics Men's 800 metres,None
Mark Edward Lutz,M,24,178,69.34,70.0786,152.548,21.88486302,USA,1976,Summer,Montreal,Athletics Men's 200 metres,None
Mark William Greenwald,M,19,165,69.16,64.9605,152.152,25.40312213,USA,1988,Winter,Calgary,"Speed Skating Men's 1,500 metres",None
Martha Rae Watson,F,29,164,57.76,64.5668,127.072,21.47531231,USA,1976,Summer,Montreal,Athletics Women's 4 x 100 metres Relay,None
Martin DeWayne Edmondson,M,32,183,98.81,72.0471,217.382,29.50521067,USA,1976,Summer,Montreal,"Shooting Mixed Running Target, 50 metres",None
"Martin John ""Marty"" Pierce",M,21,173,69.04,68.1101,151.888,23.06792743,USA,1988,Winter,Calgary,Speed Skating Men's 500 metres,None
Marvin Nash,M,22,180,71.47,70.866,157.234,22.05864198,CAN,1976,Summer,Montreal,Athletics Men's 100 metres,None
Mary Angela Docter,F,27,167,64.42,65.7479,141.724,23.09871275,USA,1988,Winter,Calgary,"Speed Skating Women's 3,000 metres",None
Maryanne Graham (-Keever),F,20,165,56.93,64.9605,125.246,20.91092746,USA,1976,Summer,Montreal,Swimming Women's 200 metres Backstroke,None
Mathieu Giroux,M,24,177,80.04,69.6849,176.088,25.54821411,CAN,2010,Winter,Vancouver,"Speed Skating Men's 1,500 metres",None
"Matthew ""Matt"" Centrowitz",M,21,186,78.65,73.2282,173.03,22.73384206,USA,1976,Summer,Montreal,"Athletics Men's 1,500 metres",None
"Matthew Haynes ""Matt"" Vogel",M,19,186,86.69,73.2282,190.718,25.05781015,USA,1976,Summer,Montreal,Swimming Men's 100 metres Butterfly,Gold
"Maxwell Lander ""Maxie"" Parks",M,25,188,78.91,74.0156,173.602,22.32627886,USA,1976,Summer,Montreal,Athletics Men's 400 metres,None
